DateTime,AddedIPs,RemovedIPs
1549055549,1,0
1549061575,1,0
1549063486,1,0
1549065722,1,0
1549067553,0,1
1549071386,1,0
1549075486,0,1
1549091336,0,1
1549115065,0,1
1549120846,0,1
1549122742,0,2
1549124679,1,0
1549130711,0,1
1549135014,1,0
1549136897,0,1
1549142663,0,1
1549146768,0,1
1549150852,0,1
1549156613,0,1
1549162381,0,1
1549191405,2,0
1549195511,0,1
1549205597,0,1
1549209409,1,0
1549215223,1,0
1549218974,0,1
1549226688,1,0
1549234358,1,0
1549273137,1,0
1549277095,0,2
1549280921,0,1
1549286658,1,0
1549294609,1,0
1549302507,0,1
1549306373,0,1
1549314541,1,1
1549316420,2,0
1549320258,1,0
1549324348,2,0
1549332113,1,0
1549361110,0,1
1549364899,1,0
1549372600,0,1
1549374500,1,0
1549383380,0,1
1549389397,2,0
1549400999,0,1
1549410754,0,2
1549412937,1,0
1549414903,1,0
1549437885,0,1
1549441949,1,0
1549451802,0,1
1549463568,1,0
1549465477,1,0
1549467643,1,0
1549482217,1,0
1549491859,1,0
1549497762,1,0
1549526937,1,0
1549530741,1,0
1549532705,0,1
1549534586,1,0
1549538678,1,0
1549540609,0,1
1549544527,1,0
1549548301,1,0
1549550205,1,2
1549552141,0,1
1549554030,1,1
1549557893,1,0
1549563881,2,1
1549567715,1,0
1549577340,0,1
1549579253,0,1
1549585246,1,1
1549596981,0,2
1549601069,0,2
1549604930,1,0
1549618589,0,2
1549620506,0,1
1549624353,0,1
1549626263,2,0
1549630365,0,2
1549634188,0,1
1549636124,0,1
1549641880,0,1
1549643789,1,1
1549647629,0,1
1549649549,1,2
1549651485,0,1
1549653396,0,1
1549662995,1,0
1549670695,0,1
1549676429,1,0
1549678349,1,0
1549684112,1,0
1549691783,1,0
1549710992,0,1
1549712913,0,1
1549724668,1,0
1549736180,1,0
1549741979,0,1
1549749707,0,1
1549756105,1,0
1549763809,0,1
1549765967,0,1
1549779403,0,1
1549787078,1,0
1549790924,2,0
1549800782,1,0
1549810354,1,0
1549814203,0,1
1549818121,3,0
1549819951,2,0
1549821900,2,0
1549823784,2,1
1549825718,3,0
1549827661,2,0
1549829551,3,0
1549831474,2,0
1549833421,2,0
1549835329,3,0
1549839155,3,0
1549842989,0,1
1549858853,0,1
1549866753,1,0
1549874457,0,1
1549876366,0,1
1549878267,0,1
1549882108,0,1
1549884222,0,1
1549888354,2,0
1549890281,1,0
1549896102,1,0
1549897993,2,1
1549899890,1,0
1549901793,2,0
1549903725,1,2
1549905652,1,3
1549907553,1,2
1549909509,2,2
1549911390,0,2
1549913568,1,4
1549915739,0,1
1549917637,0,4
1549919568,0,2
1549921473,1,2
1549923408,1,1
1549925330,0,3
1549931071,1,0
1549946691,1,0
1549952681,1,0
1549954734,0,1
1549968271,1,1
1549974057,1,1
1549975977,1,0
1549977871,0,1
1549979820,1,0
1549983768,0,2
1549986812,2,1
1549988916,0,1
1549994695,0,1
1549996614,2,0
1550000423,1,1
1550004285,1,0
1550008115,0,1
1550010023,0,1
1550017704,0,1
1550019724,1,0
1550033063,1,1
1550036911,0,1
1550038824,0,1
1550044616,1,0
1550046524,1,0
1550054186,0,1
1550056366,0,1
1550060206,0,2
1550062101,0,2
1550064057,0,1
1550075563,0,1
1550081295,0,1
1550085160,0,1
1550087080,0,1
1550088993,0,1
1550092817,1,0
1550104362,1,0
1550113950,1,0
1550115883,2,0
1550119958,0,1
1550121874,0,1
1550127681,1,0
1550131502,0,2
1550133397,0,1
1550148758,1,1
1550150665,0,1
1550164358,1,0
1550173949,1,0
1550189787,1,0
1550191698,1,0
1550199373,0,1
1550201337,1,1
1550210896,1,0
1550212844,0,1
1550226259,0,1
1550233950,0,1
1550235905,0,1
1550243575,0,1
1550251272,1,0
1550257306,1,0
1550274750,1,0
1550276685,0,2
1550280627,1,0
1550293943,0,1
1550295854,1,0
1550297798,1,1
1550299703,1,0
1550301637,1,0
1550305472,0,1
1550309294,0,1
1550311286,1,0
1550313163,1,0
1550323243,1,1
1550328970,2,0
1550330930,2,0
1550336680,1,1
1550344585,0,1
1550346517,0,1
1550350381,1,0
1550352270,2,0
1550364296,1,0
1550368103,0,1
1550370053,1,0
1550387331,0,1
